时间,加速度X(g),加速度Y(g),加速度Z(g),四元数0(),四元数1(),四元数2(),四元数3()
2025-03-23 16:33:15.145,-0.11825,-0.20075,0.9884999999999999,0.4690167786677248,-0.005460311758301195,0.10672609356152489,-0.8767000554789243
2025-03-23 16:33:15.146,-0.117,-0.198,0.978,0.4690167786677248,-0.005460311758301195,0.10672609356152489,-0.8767000554789243
2025-03-23 16:33:15.147,-0.10666666666666667,-0.19800000000000004,0.9846666666666666,0.46901677866772484,-0.005460311758301084,0.10672609356152492,-0.8767000554789244
2025-03-23 16:33:15.180,-0.12525,-0.19925,0.984,0.4690167786677248,-0.005460311758301195,0.10672609356152489,-0.8767000554789243
2025-03-23 16:33:15.277,-0.11375,-0.19225,0.978,0.4690167786677248,-0.005460311758301195,0.10672609356152489,-0.8767000554789243
2025-03-23 16:33:15.278,-0.10975,-0.19275,0.98325,0.46635858389707935,-0.004120164184191366,0.1109944230105434,-0.877594971232836
2025-03-23 16:33:15.346,-0.1025,-0.19775,0.998,0.46635858389707935,-0.004120164184191366,0.1109944230105434,-0.877594971232836
2025-03-23 16:33:15.350,-0.0985,-0.202,1.007,0.46635858389707935,-0.004120164184191366,0.11099442301054341,-0.8775949712328361
2025-03-23 16:33:15.351,-0.1125,-0.204,0.9954999999999999,0.46635858389707935,-0.004120164184191366,0.11099442301054341,-0.8775949712328361
2025-03-23 16:33:15.381,-0.115,-0.21325,0.9864999999999999,0.46635858389707935,-0.004120164184191366,0.1109944230105434,-0.877594971232836
2025-03-23 16:33:15.472,-0.119,-0.219,1.002,0.46635858389707935,-0.004120164184191366,0.11099442301054341,-0.8775949712328361
2025-03-23 16:33:15.473,-0.11666666666666665,-0.20866666666666667,0.9723333333333333,0.4663585838970792,-0.00412016418419181,0.11099442301054345,-0.8775949712328364
2025-03-23 16:33:15.474,-0.11175,-0.206,0.98475,0.46635858389707935,-0.004120164184191366,0.1109944230105434,-0.877594971232836
2025-03-23 16:33:15.494,-0.09225,-0.205,1.0105,0.46635858389707935,-0.004120164184191366,0.1109944230105434,-0.877594971232836
2025-03-23 16:33:15.547,-0.1045,-0.22425,1.0105,0.46635858389707935,-0.004120164184191366,0.1109944230105434,-0.877594971232836
2025-03-23 16:33:15.639,-0.106,-0.23866666666666667,1.0250000000000001,0.4663585838970792,-0.00412016418419181,0.11099442301054345,-0.8775949712328364
2025-03-23 16:33:15.640,-0.118,-0.219,0.994,0.46635858389707935,-0.004120164184191366,0.11099442301054341,-0.8775949712328361
2025-03-23 16:33:15.674,-0.113,-0.1865,0.94225,0.46635858389707935,-0.004120164184191366,0.1109944230105434,-0.877594971232836
2025-03-23 16:33:15.675,-0.12566666666666668,-0.18100000000000002,0.9296666666666668,0.4645615422414109,-0.003450159987800294,0.11893551517365775,-0.8775106911580717
2025-03-23 16:33:15.676,-0.137,-0.2,0.955,0.4645615422414108,-0.0034501599878005162,0.11893551517365779,-0.8775106911580719
2025-03-23 16:33:15.696,-0.133,-0.216,0.958,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:15.740,-0.14,-0.23175,0.9605,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:15.786,-0.153,-0.2325,0.988,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:15.834,-0.148,-0.23175,0.979,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:15.875,-0.13075,-0.2235,1.0162499999999999,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:15.897,-0.13175,-0.22475,0.98675,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:15.943,-0.13624999999999998,-0.23775,0.9975,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:15.989,-0.13275,-0.24875,1.003,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:16.052,-0.108,-0.22425,0.98375,0.46456154224141083,-0.0034501599878004052,0.11893551517365775,-0.8775106911580718
2025-03-23 16:33:16.078,-0.10525,-0.214,0.9915,-0.4646267213265079,0.002795158979917889,-0.1229470816659746,0.876925431279922
2025-03-23 16:33:16.138,-0.10625,-0.2395,1.0265,0.46468406286993663,-0.002140110821980845,0.1269565742291965,-0.8763253790118968
2025-03-23 16:33:16.145,-0.11025,-0.23425,0.96775,0.46468406286993663,-0.002140110821980845,0.1269565742291965,-0.8763253790118968
2025-03-23 16:33:16.191,-0.12,-0.217,0.9636666666666667,0.4646840628699365,-0.002140110821980956,0.12695657422919654,-0.876325379011897
2025-03-23 16:33:16.192,-0.133,-0.196,0.949,0.4646840628699367,-0.002140110821980956,0.12695657422919654,-0.8763253790118969
2025-03-23 16:33:16.247,-0.13475,-0.19375,0.97075,0.46468406286993663,-0.002140110821980845,0.1269565742291965,-0.8763253790118968
2025-03-23 16:33:16.262,-0.1775,-0.21225,0.9924999999999999,0.46468406286993663,-0.002140110821980845,0.1269565742291965,-0.8763253790118968
2025-03-23 16:33:16.349,-0.18825,-0.2675,1.00925,0.46468406286993663,-0.002140110821980845,0.1269565742291965,-0.8763253790118968
2025-03-23 16:33:16.350,-0.146,-0.22875,0.976,0.46468406286993663,-0.002140110821980845,0.1269565742291965,-0.8763253790118968
2025-03-23 16:33:16.394,-0.129,-0.19725,0.968,0.46468406286993663,-0.002140110821980845,0.1269565742291965,-0.8763253790118968
