Timestamp,压力值,Pressure Newton_min-max,Smoothed Newton_min-max
2025-03-30 17:23:26.000,2.0,0.004965367286973555,0.004476156826109167
2025-03-30 17:23:26.033,0.0,2.4778299362446716e-08,0.004476156826109167
2025-03-30 17:23:26.066,5.0,0.01245,0.004476156826109167
2025-03-30 17:23:26.100,2.0,0.004965367286973555,0.004476156826109167
2025-03-30 17:23:26.133,0.0,2.4778299362446716e-08,0.004476156826109167
2025-03-30 17:23:26.166,4.0,0.009950225711481844,0.005473128511010825
2025-03-30 17:23:26.200,2.0,0.004965367286973555,0.006466197012745664
2025-03-30 17:23:26.233,0.0,2.4778299362446716e-08,0.003976201968405537
2025-03-30 17:23:26.266,5.0,0.01245,0.005473128511010825
2025-03-30 17:23:26.300,4.0,0.009950225711481844,0.007463168697647321
2025-03-30 17:23:26.333,0.0,2.4778299362446716e-08,0.0054731285110108255
2025-03-30 17:23:26.366,4.0,0.009950225711481844,0.006470100195912484
2025-03-30 17:23:26.400,4.0,0.009950225711481844,0.00846014038254898
2025-03-30 17:23:26.433,0.0,2.4778299362446716e-08,0.005970145338208852
2025-03-30 17:23:26.466,6.0,0.014954690265486724,0.006971038249009829
2025-03-30 17:23:26.500,4.0,0.009950225711481844,0.008961078435646324
2025-03-30 17:23:26.533,0.0,2.4778299362446716e-08,0.006971038249009828
2025-03-30 17:23:26.566,5.0,0.01245,0.00747099310671346
2025-03-30 17:23:26.600,3.0,0.00745535294117647,0.00896205873928888
2025-03-30 17:23:26.633,1.0,0.002480254403131115,0.006467171566817758
2025-03-30 17:23:26.666,5.0,0.01245,0.00696712642452139
2025-03-30 17:23:26.700,3.0,0.00745535294117647,0.008458192057096811
2025-03-30 17:23:26.733,0.0,2.4778299362446716e-08,0.005968197012756684
2025-03-30 17:23:26.766,4.0,0.009950225711481844,0.006467171566817758
2025-03-30 17:23:26.800,4.0,0.009950225711481844,0.007961165828487904
2025-03-30 17:23:26.833,0.0,2.4778299362446716e-08,0.005471170784147778
2025-03-30 17:23:26.866,4.0,0.009950225711481844,0.005970145338208853
2025-03-30 17:23:26.900,3.0,0.00745535294117647,0.0074612109707842735
2025-03-30 17:23:26.933,0.0,2.4778299362446716e-08,0.005471170784147778
2025-03-30 17:23:26.966,5.0,0.01245,0.005971125641851408
2025-03-30 17:23:27.000,2.0,0.004965367286973555,0.006964194143586247
2025-03-30 17:23:27.033,0.0,2.4778299362446716e-08,0.004974153956949751
2025-03-30 17:23:27.066,7.0,0.017464311023622045,0.006975945573438865
2025-03-30 17:23:27.100,4.0,0.009950225711481844,0.008965985760075361
2025-03-30 17:23:27.133,0.0,2.4778299362446716e-08,0.006475990715735235
2025-03-30 17:23:27.166,5.0,0.01245,0.007972917258340524
2025-03-30 17:23:27.200,4.0,0.009950225711481844,0.009962957444977018
2025-03-30 17:23:27.233,0.0,2.4778299362446716e-08,0.006470100195912483
2025-03-30 17:23:27.266,5.0,0.01245,0.006970055053616114
2025-03-30 17:23:27.300,5.0,0.01245,0.009460050097956241
2025-03-30 17:23:27.333,0.0,2.4778299362446716e-08,0.006970055053616114
2025-03-30 17:23:27.366,4.0,0.009950225711481844,0.006970055053616114
2025-03-30 17:23:27.400,4.0,0.009950225711481844,0.00896009524025261
2025-03-30 17:23:27.433,0.0,2.4778299362446716e-08,0.006470100195912483
2025-03-30 17:23:27.466,4.0,0.009950225711481844,0.005970145338208853
2025-03-30 17:23:27.500,5.0,0.01245,0.00846014038254898
2025-03-30 17:23:27.533,0.0,2.4778299362446716e-08,0.006470100195912484
2025-03-30 17:23:27.566,3.0,0.00745535294117647,0.005971125641851409
2025-03-30 17:23:27.600,7.0,0.017464311023622045,0.009463982890915946
2025-03-30 17:23:27.633,9.0,0.022498402366863905,0.011973618221992357
2025-03-30 17:23:27.666,17.0,0.042834930417495025,0.018050604305491363
2025-03-30 17:23:27.700,3.0,0.00745535294117647,0.019541669938066785
2025-03-30 17:23:27.733,1.0,0.002480254403131115,0.01854665023045771
2025-03-30 17:23:27.766,12.0,0.030086884272997032,0.02107116488033271
2025-03-30 17:23:27.800,19.0,0.04796970119521912,0.026165424646003754
2025-03-30 17:23:27.833,7.0,0.017464311023622045,0.02109130076722916
2025-03-30 17:23:27.866,99.0,0.2715878571428571,0.07391780160756528
2025-03-30 17:23:27.900,80.0,0.21504305408271474,0.11643036154348202
2025-03-30 17:23:27.933,109.0,0.3022925382932166,0.17087149234752594
2025-03-30 17:23:27.966,150.0,0.43553608247422676,0.24838476860332748
2025-03-30 17:23:28.000,180.0,0.5412427046263345,0.35314044732387
2025-03-30 17:23:28.033,240.0,0.7769563218390805,0.4542141402631147
2025-03-30 17:23:28.066,246.0,0.8025298841698841,0.5717115062805486
2025-03-30 17:23:28.100,273.0,0.92267448,0.6957878946219052
2025-03-30 17:23:28.133,262.0,0.872697555847569,0.7832201892965737
2025-03-30 17:23:28.166,256.0,0.8460416166883963,0.8441799717089862
2025-03-30 17:23:28.200,293.0,1.0174003561643834,0.8922687785740467
2025-03-30 17:23:28.233,325.0,1.1802528653295128,0.9678133748059724
2025-03-30 17:23:28.266,268.0,0.8997771655629138,0.9632339119185551
2025-03-30 17:23:28.300,297.0,1.0369718181818182,0.996088764385405
2025-03-30 17:23:28.333,294.0,1.0222730864197531,1.0313350583316763
2025-03-30 17:23:28.366,312.0,1.1123260759493672,1.050320202288673
2025-03-30 17:23:28.400,312.0,1.1123260759493672,1.0367348444126439
2025-03-30 17:23:28.433,299.0,1.0468386464088397,1.066147140581829
