时间,加速度X(g),加速度Y(g),加速度Z(g),四元数0(),四元数1(),四元数2(),四元数3()
2025-03-23 15:05:21.911,-0.4575,-0.37024999999999997,0.8312499999999999,0.63135632600498,0.05270303234566087,0.30393748748563904,-0.7115009372418162
2025-03-23 15:05:21.914,-0.45275,-0.37675000000000003,0.8322499999999999,0.63135632600498,0.05270303234566087,0.30393748748563904,-0.7115009372418162
2025-03-23 15:05:21.955,-0.461,-0.372,0.8372499999999999,0.63135632600498,0.05270303234566087,0.30393748748563904,-0.7115009372418162
2025-03-23 15:05:21.962,-0.46125000000000005,-0.373,0.826,0.63135632600498,0.05270303234566087,0.30393748748563904,-0.7115009372418162
2025-03-23 15:05:21.968,-0.47025,-0.37525,0.822,0.63135632600498,0.05270303234566087,0.30393748748563904,-0.7115009372418162
2025-03-23 15:05:22.021,-0.46925,-0.37275,0.8205,0.63135632600498,0.05270303234566087,0.30393748748563904,-0.7115009372418162
2025-03-23 15:05:22.038,-0.4625,-0.37124999999999997,0.82,-0.6320881804728676,-0.051150788026638305,-0.30428458339513315,0.7108157435642544
2025-03-23 15:05:22.143,-0.45275,-0.3695,0.81875,0.6323316350340497,0.05063333388441049,0.30440004281526534,-0.7105867876403134
2025-03-23 15:05:22.167,-0.45566666666666666,-0.36766666666666664,0.8263333333333334,0.6323316350340498,0.0506333338844106,0.3044000428152653,-0.7105867876403134
2025-03-23 15:05:22.168,-0.454,-0.368,0.827,0.6323316350340499,0.050633333884410714,0.3044000428152652,-0.7105867876403132
2025-03-23 15:05:22.218,-0.457,-0.371,0.828,0.6323316350340499,0.050633333884410714,0.3044000428152652,-0.7105867876403132
2025-03-23 15:05:22.219,-0.46,-0.37399999999999994,0.8306666666666667,0.6323316350340498,0.0506333338844106,0.3044000428152653,-0.7105867876403134
2025-03-23 15:05:22.220,-0.46125000000000005,-0.37625,0.828,0.6323316350340497,0.05063333388441049,0.30440004281526534,-0.7105867876403134
2025-03-23 15:05:22.256,-0.4655,-0.3745,0.81975,0.6323316350340497,0.05063333388441049,0.30440004281526534,-0.7105867876403134
2025-03-23 15:05:22.324,-0.46225000000000005,-0.3725,0.815,0.6323316350340497,0.05063333388441049,0.30440004281526534,-0.7105867876403134
2025-03-23 15:05:22.329,-0.46325000000000005,-0.37275,0.8192499999999999,0.6323316350340497,0.05063333388441049,0.30440004281526534,-0.7105867876403134
2025-03-23 15:05:22.368,-0.45575,-0.37175,0.81675,0.6323316350340497,0.05063333388441049,0.30440004281526534,-0.7105867876403134
2025-03-23 15:05:22.422,-0.45625000000000004,-0.37424999999999997,0.8272499999999999,0.6323316350340497,0.05063333388441049,0.30440004281526534,-0.7105867876403134
2025-03-23 15:05:22.438,-0.454,-0.377,0.83,0.6323316350340499,0.050633333884410714,0.3044000428152652,-0.7105867876403132
2025-03-23 15:05:22.439,-0.449,-0.38000000000000006,0.8286666666666666,0.6326771566726923,0.05042375834126922,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.527,-0.45125000000000004,-0.3775,0.8325,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.547,-0.451,-0.3855,0.83875,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.570,-0.45,-0.379,0.822,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.571,-0.459,-0.375,0.8203333333333332,0.6326771566726923,0.05042375834126922,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.611,-0.4685,-0.381,0.8262499999999999,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.737,-0.4555,-0.37875000000000003,0.8135,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.752,-0.4635,-0.38225,0.8202499999999999,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.772,-0.465,-0.383,0.8214999999999999,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.773,-0.4605,-0.3825,0.8274999999999999,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.809,-0.45675,-0.382,0.83175,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
2025-03-23 15:05:22.817,-0.4545,-0.3825,0.8345,0.6326771566726924,0.05042375834126911,0.30440268869328696,-0.71029294177515
