时间,加速度X(g),加速度Y(g),加速度Z(g),四元数0(),四元数1(),四元数2(),四元数3()
2025-03-22 11:55:10.523,0.71075,0.988,2.161,0.6437193679583189,-0.19477191166971508,-0.21650324069304067,-0.7076832798005604
2025-03-22 11:55:10.526,0.716,0.993,2.15575,0.6437193679583189,-0.19477191166971508,-0.21650324069304067,-0.7076832798005604
2025-03-22 11:55:10.527,0.69675,0.98575,2.1545,0.6437193679583189,-0.19477191166971508,-0.21650324069304067,-0.7076832798005604
2025-03-22 11:55:10.529,0.7055,0.984,2.166,0.6437193679583189,-0.19477191166971508,-0.21650324069304067,-0.7076832798005604
2025-03-22 11:55:10.658,0.72375,0.98425,2.1875,0.6368851393690481,-0.19560386346522218,-0.23329653494129066,-0.7083002009266509
2025-03-22 11:55:10.659,0.733,0.978,2.193,0.6368851393690481,-0.19560386346522218,-0.23329653494129066,-0.7083002009266509
2025-03-22 11:55:10.660,0.7256666666666667,0.9836666666666667,2.188333333333333,0.6368851393690481,-0.19560386346522218,-0.23329653494129066,-0.7083002009266509
2025-03-22 11:55:10.661,0.7295,0.98825,2.1705,0.6368851393690481,-0.19560386346522218,-0.23329653494129066,-0.7083002009266509
2025-03-22 11:55:10.816,0.7304999999999999,0.98875,2.15875,0.6368851393690481,-0.19560386346522218,-0.23329653494129066,-0.7083002009266509
2025-03-22 11:55:10.817,0.734,0.9835,2.1665,0.6368851393690481,-0.19560386346522218,-0.23329653494129066,-0.7083002009266509
2025-03-22 11:55:10.950,0.721,0.983,2.158,0.6368851393690481,-0.19560386346522218,-0.23329653494129066,-0.7083002009266509
2025-03-22 11:55:11.108,0.72125,0.98275,2.15925,0.6368851393690481,-0.19560386346522218,-0.23329653494129066,-0.7083002009266509
2025-03-22 11:55:11.109,0.723,0.98125,2.1654999999999998,-0.637565390188022,0.1976109604312073,0.23276042390728763,0.7073067698066742
2025-03-22 11:55:11.110,0.71475,0.9795,2.1632499999999997,0.6377913230199327,-0.19827973785618713,-0.23258142247043662,-0.7069747207346195
2025-03-22 11:55:11.333,0.7162499999999999,0.97675,2.16875,0.6377913230199327,-0.19827973785618713,-0.23258142247043662,-0.7069747207346195
2025-03-22 11:55:11.469,0.736,0.9775,2.1814999999999998,0.6377913230199327,-0.19827973785618713,-0.23258142247043662,-0.7069747207346195
2025-03-22 11:55:11.470,0.7264999999999999,0.97425,2.177,0.6377913230199327,-0.19827973785618713,-0.23258142247043662,-0.7069747207346195
2025-03-22 11:55:11.471,0.7384999999999999,0.97425,2.191,0.6377913230199327,-0.19827973785618713,-0.23258142247043662,-0.7069747207346195
2025-03-22 11:55:11.472,0.7364999999999999,0.97525,2.1805000000000003,0.6377913230199327,-0.19827973785618713,-0.23258142247043662,-0.7069747207346195
2025-03-22 11:55:11.473,0.736,0.973,2.182,0.6377913230199327,-0.19827973785618713,-0.23258142247043664,-0.7069747207346196
2025-03-22 11:55:11.474,0.7288333333333333,0.9686666666666666,2.1828333333333334,0.6377913230199328,-0.19827973785618702,-0.23258142247043667,-0.7069747207346198
2025-03-22 11:55:11.475,0.726,0.9695,2.1765,0.6377913230199327,-0.19827973785618713,-0.23258142247043664,-0.7069747207346196
2025-03-22 11:55:11.476,0.726,0.9686666666666666,2.166,0.641699967890853,-0.19966243585295773,-0.22608408150903142,-0.7051539200815374
2025-03-22 11:55:11.636,0.737,0.966,2.18,0.6416999678908529,-0.19966243585295773,-0.22608408150903148,-0.7051539200815375
2025-03-22 11:55:11.637,0.7265714285714286,0.9707142857142858,2.1821428571428574,0.641699967890853,-0.19966243585295773,-0.22608408150903142,-0.7051539200815374
2025-03-22 11:55:11.738,0.71775,0.969,2.17325,0.6416999678908529,-0.19966243585295762,-0.22608408150903145,-0.7051539200815375
2025-03-22 11:55:11.940,0.7155,0.967,2.173,0.6416999678908529,-0.19966243585295762,-0.22608408150903145,-0.7051539200815375
2025-03-22 11:55:11.943,0.72925,0.97075,2.16375,0.6416999678908529,-0.19966243585295762,-0.22608408150903145,-0.7051539200815375
2025-03-22 11:55:11.945,0.7336666666666667,0.9693333333333333,2.176,0.641699967890853,-0.19966243585295773,-0.22608408150903142,-0.7051539200815374
2025-03-22 11:55:11.946,0.729,0.968,2.178,0.6416999678908529,-0.19966243585295773,-0.22608408150903148,-0.7051539200815375
2025-03-22 11:55:11.947,0.7255,0.968,2.17425,0.6416999678908529,-0.19966243585295762,-0.22608408150903145,-0.7051539200815375
2025-03-22 11:55:11.948,0.725,0.9715,2.1782500000000002,0.6417496488851682,-0.19975389779925257,-0.22643075442373625,-0.7049715468874378
2025-03-22 11:55:11.949,0.71575,0.974,2.1695,0.6417661857878897,-0.199784377820306,-0.22654630378752527,-0.7049107300917099
2025-03-22 11:55:12.076,0.723,0.973,2.173,0.6417661857878898,-0.199784377820306,-0.22654630378752522,-0.7049107300917098
2025-03-22 11:55:12.077,0.7256666666666667,0.973,2.171,0.6417661857878898,-0.199784377820306,-0.22654630378752522,-0.7049107300917098
2025-03-22 11:55:12.078,0.72625,0.972,2.1665,0.6417661857878897,-0.199784377820306,-0.22654630378752527,-0.7049107300917099
2025-03-22 11:55:12.079,0.72825,0.97,2.1702500000000002,0.6417661857878897,-0.199784377820306,-0.22654630378752527,-0.7049107300917099
2025-03-22 11:55:12.346,0.7275,0.97,2.16725,0.641333741158796,-0.19984206963350037,-0.22645367872093367,-0.7053175958740986
2025-03-22 11:55:12.347,0.721,0.966,2.174,0.6409010627918555,-0.19989968861307894,-0.22636097112196926,-0.7057242045993484
