Timestamp,压力值,Pressure Newton,Smoothed Newton
2025-03-23 19:32:43.000,6.0,0.01647362831858407,0.014267439369949984
2025-03-23 19:32:43.033,5.0,0.013714538310412572,0.014267439369949984
2025-03-23 19:32:43.066,4.0,0.010960863591756624,0.014267439369949984
2025-03-23 19:32:43.100,6.0,0.01647362831858407,0.014267439369949984
2025-03-23 19:32:43.133,5.0,0.013714538310412572,0.014267439369949984
2025-03-23 19:32:43.166,4.0,0.010960863591756624,0.013164886424584495
2025-03-23 19:32:43.200,6.0,0.01647362831858407,0.013716704426218794
2025-03-23 19:32:43.233,6.0,0.01647362831858407,0.014819257371584283
2025-03-23 19:32:43.266,3.0,0.008212588235294117,0.013167049354926293
2025-03-23 19:32:43.300,7.0,0.019238149606299212,0.01427177161410362
2025-03-23 19:32:43.333,5.0,0.013714538310412572,0.014822506557834809
2025-03-23 19:32:43.366,3.0,0.008212588235294117,0.013170298541176819
2025-03-23 19:32:43.400,7.0,0.019238149606299212,0.013723202798719846
2025-03-23 19:32:43.433,5.0,0.013714538310412572,0.014823592813743538
2025-03-23 19:32:43.466,4.0,0.010960863591756624,0.01316813561083502
2025-03-23 19:32:43.500,6.0,0.01647362831858407,0.01371995361246932
2025-03-23 19:32:43.533,6.0,0.01647362831858407,0.015372161629127312
2025-03-23 19:32:43.566,4.0,0.010960863591756624,0.013716704426218794
2025-03-23 19:32:43.600,6.0,0.01647362831858407,0.014268522427853094
2025-03-23 19:32:43.633,6.0,0.01647362831858407,0.015371075373218582
2025-03-23 19:32:43.666,4.0,0.010960863591756624,0.014268522427853094
2025-03-23 19:32:43.700,6.0,0.01647362831858407,0.014268522427853094
2025-03-23 19:32:43.733,6.0,0.01647362831858407,0.015371075373218582
2025-03-23 19:32:43.766,3.0,0.008212588235294117,0.013718867356560593
2025-03-23 19:32:43.800,6.0,0.01647362831858407,0.013718867356560591
2025-03-23 19:32:43.833,5.0,0.013714538310412572,0.01426960230029178
2025-03-23 19:32:43.866,4.0,0.010960863591756624,0.013167049354926292
2025-03-23 19:32:43.900,5.0,0.013714538310412572,0.012615231353291992
2025-03-23 19:32:43.933,5.0,0.013714538310412572,0.013715621368315684
2025-03-23 19:32:43.966,4.0,0.010960863591756624,0.012613068422950196
2025-03-23 19:32:44.000,6.0,0.01647362831858407,0.013164886424584495
2025-03-23 19:32:44.033,6.0,0.01647362831858407,0.014267439369949984
2025-03-23 19:32:44.066,5.0,0.013714538310412572,0.014267439369949984
2025-03-23 19:32:44.100,6.0,0.01647362831858407,0.014819257371584283
2025-03-23 19:32:44.133,6.0,0.01647362831858407,0.015921810316949774
2025-03-23 19:32:44.166,5.0,0.013714538310412572,0.015369992315315472
2025-03-23 19:32:44.200,6.0,0.01647362831858407,0.015369992315315472
2025-03-23 19:32:44.233,5.0,0.013714538310412572,0.015369992315315472
2025-03-23 19:32:44.266,4.0,0.010960863591756624,0.014267439369949984
2025-03-23 19:32:44.300,6.0,0.01647362831858407,0.014267439369949984
2025-03-23 19:32:44.333,6.0,0.01647362831858407,0.014819257371584283
2025-03-23 19:32:44.366,4.0,0.010960863591756624,0.013716704426218794
2025-03-23 19:32:44.400,7.0,0.019238149606299212,0.014821426685396122
2025-03-23 19:32:44.433,7.0,0.019238149606299212,0.01647688388830464
2025-03-23 19:32:44.466,5.0,0.013714538310412572,0.01592506588667034
2025-03-23 19:32:44.500,7.0,0.019238149606299212,0.01647797014421337
2025-03-23 19:32:44.533,7.0,0.019238149606299212,0.018133427347121887
2025-03-23 19:32:44.566,5.0,0.013714538310412572,0.01702870508794456
2025-03-23 19:32:44.600,7.0,0.019238149606299212,0.01702870508794456
2025-03-23 19:32:44.633,7.0,0.019238149606299212,0.018133427347121887
2025-03-23 19:32:44.666,5.0,0.013714538310412572,0.01702870508794456
2025-03-23 19:32:44.700,7.0,0.019238149606299212,0.01702870508794456
2025-03-23 19:32:44.733,7.0,0.019238149606299212,0.018133427347121887
2025-03-23 19:32:44.766,4.0,0.010960863591756624,0.01647797014421337
2025-03-23 19:32:44.800,7.0,0.019238149606299212,0.01647797014421337
2025-03-23 19:32:44.833,7.0,0.019238149606299212,0.017582692403390696
2025-03-23 19:32:44.866,5.0,0.013714538310412572,0.01647797014421337
2025-03-23 19:32:44.900,8.0,0.022008118226600985,0.01703196386827372
2025-03-23 19:32:44.933,8.0,0.022008118226600985,0.019241414795242592
2025-03-23 19:32:44.966,6.0,0.01647362831858407,0.018688510537699564
2025-03-23 19:32:45.000,7.0,0.019238149606299212,0.018688510537699564
2025-03-23 19:32:45.033,8.0,0.022008118226600985,0.020347226520937248
2025-03-23 19:32:45.066,5.0,0.013714538310412572,0.018688510537699564
2025-03-23 19:32:45.100,6.0,0.01647362831858407,0.017581612556096183
2025-03-23 19:32:45.133,7.0,0.019238149606299212,0.01813451681363921
2025-03-23 19:32:45.166,5.0,0.013714538310412572,0.017029794554461884
2025-03-23 19:32:45.200,7.0,0.019238149606299212,0.01647580083040153
2025-03-23 19:32:45.233,8.0,0.022008118226600985,0.01813451681363921
2025-03-23 19:32:45.266,5.0,0.013714538310412572,0.017582698812004912
2025-03-23 19:32:45.300,7.0,0.019238149606299212,0.017582698812004912
2025-03-23 19:32:45.333,8.0,0.022008118226600985,0.019241414795242592
2025-03-23 19:32:45.366,5.0,0.013714538310412572,0.018136692536065264
2025-03-23 19:32:45.400,7.0,0.019238149606299212,0.017582698812004912
2025-03-23 19:32:45.433,8.0,0.022008118226600985,0.019241414795242592
